Date,LQI
1126,107
1127,108
1128,107
1129,97
1130,80
1131,106
1132,108
1133,108
1134,107
1135,108
1136,107
1137,108
1138,1
1139,99
1140,107
1141,108
1142,107
1143,106
1144,105
1145,108
1146,108
1147,107
1148,108
1149,108
1150,108
1151,107
1152,106
1153,107
1154,107
1155,106
1156,107
1157,100
1158,108
1159,107
1160,1
1161,107
1162,95
1163,106
1164,1
1165,107
1166,108
1167,105
1168,105
1169,107
1170,107
1171,107
1172,107
1173,107
1174,108
1175,108
1176,107
1177,1
1178,105
1179,107
1180,107
1181,107
1182,107
1183,107
1184,106
1185,96
1186,106
1187,107
1188,107
1189,107
1190,107
1191,108
1192,94
1193,1
1194,107
1195,107
1196,106
1197,108
1198,107
1199,107
1200,104
1201,107
1202,107
1203,107
1204,107
1205,108
1206,107
1207,107
1208,107
1209,107
1210,107
1211,107
1212,107
1213,107
1214,108
1215,108
1216,106
1217,107
1218,107
1219,107
1220,107
1221,103
1222,108
1223,108
1224,107
1225,1
1226,106
1227,108
1228,107
1229,1
1230,108
1231,108
1232,108
1233,107
1234,105
1235,107
1236,107
1237,108
1238,107
1239,108
1240,106
1241,108
1242,108
1243,107
1244,107
1245,102
1246,106
1247,106
1248,107
1249,108
1250,107
1251,107
1252,108
1253,108
1254,107
1255,106
1256,107
1257,107
1258,106
1259,107
1260,107
1261,108
1262,106
1263,107
1264,107
1265,104
1266,108
1267,107
1268,107
1269,106
1270,108
1271,94
1272,105
1273,108
1274,107
1275,107
1276,77
1277,107
1278,107
1279,108
1280,105
1281,106
1282,107
1283,99
1284,105
1285,107
1286,104
1287,106
1288,106
1289,99
1290,100
1291,95
1292,103
1293,89
1294,104
1295,106
1296,107
1297,73
1298,106
1299,98
1300,108
1301,94
1302,103
1303,105
1304,102
1305,101
1306,95
1307,106
1308,106
1309,106
1310,106
1311,106
1312,106
1313,104
1314,92
1315,95
1316,105
1317,104
1318,103
1319,102
1320,106
1321,106
1322,105
1323,80
1324,103
1325,107
1326,104
1327,106
1328,105
1329,107
1330,105
1331,104
1332,101
1333,106
1334,104
1335,106
1336,105
1337,102
1338,105
1339,106
1340,105
1341,107
1342,99
1343,102
1344,88
1345,96
1346,108
1347,106
1348,105
1349,106
1350,107
1351,99
1352,105
1353,97
1354,101
1355,1
1356,106
1357,79
1358,105
1359,106
1360,106
1361,107
1362,103
